x,y,z,D_20171127,D_20171209,D_20171221,D_20180102,D_20180114,D_20180126,D_20180207,D_20180219,D_20180303,D_20180315,D_20180327,D_20180408,D_20180420,D_20180502,D_20180514,D_20180607,D_20180619,D_20180701,D_20180713,D_20180725,D_20180806,D_20180818,D_20180830,D_20180911,D_20180923,D_20181005,D_20181017,D_20181029,D_20181110,D_20181122,D_20181204,D_20181216,D_20181222,D_20181228,D_20190109,D_20190121,D_20190202,D_20190214,D_20190226,D_20190310,D_20190322,D_20190403,D_20190415,D_20190509,D_20190521,D_20190602,D_20190614,D_20190626,D_20190708,D_20190720,D_20190801,D_20190813,D_20190906,D_20190918,D_20190930,D_20191012,D_20191105,D_20191117,D_20191129,D_20191211,D_20191223,D_20200104
102.795115,29.263953,1415.584961,0.000000,-1.721076,3.485004,0.853048,0.631027,0.214921,-0.218213,-0.358655,-0.033080,-6.730639,5.604211,-0.037060,3.217414,-9.428618,-21.701831,18.278979,-26.038682,4.516396,19.630714,27.635104,7.104558,-3.780317,-2.840854,-2.924592,0.612238,-3.694456,2.713614,1.238151,-3.895897,-6.638109,0.868090,0.767508,-3.274733,3.008675,-2.992469,0.525680,0.273054,-1.637727,4.025073,6.065562,-0.049572,0.565361,-11.418139,1.339903,3.512699,-45.307410,26.947550,-20.314720,0.812069,13.833889,13.821840,-11.555053,-8.599091,-11.979813,10.421211,0.506316,2.464134,-2.221462,-0.479309,0.205518,0.881020,1.117626
102.795448,29.263953,1387.766846,0.000000,-1.609731,3.517901,1.041189,-0.987335,-0.312545,0.163626,-4.553306,0.776863,-1.381194,9.106884,-3.066305,-11.432947,10.421138,-0.542603,-5.979097,9.745927,8.409693,3.734941,19.722746,9.366989,3.576561,4.504802,-5.886825,1.452583,4.447685,-4.438579,-5.204476,-0.338264,-0.098301,-0.324871,1.895607,-2.175186,0.915188,-0.543064,-1.468293,2.612507,6.183338,1.569825,-1.438698,-4.995365,-1.073311,7.484222,12.348419,-11.862281,-7.936116,-8.884113,-16.202574,10.166224,4.210247,-0.182507,-0.063125,-6.509551,5.717803,-0.761067,0.476708,-0.516453,0.170891,0.013759,-0.096340,0.849571,0.826546
102.795781,29.263953,1362.675171,0.000000,1.270571,1.016526,1.115387,-0.819529,-0.556083,0.048400,-4.832430,1.711036,-0.421537,-7.178181,-1.998299,1.162549,1.192079,11.762573,13.156682,1.231456,17.570513,0.750759,7.981201,-4.229812,0.205276,1.635105,-3.688980,-4.684864,-0.988407,0.592342,0.876519,0.640312,-1.869949,0.247173,-0.894974,-0.767036,3.044849,5.687512,2.862651,-1.445587,-4.373188,0.538212,4.602661,10.036629,-3.733246,-8.839844,-7.670753,-9.714697,12.806791,2.887615,-1.617122,-1.532448,2.846119,-0.310040,0.765480,-0.477638,-1.023521,0.269260,-0.268974,-0.318607,1.334190,0.603138,0.191807,-0.033440,0.559677
102.795948,29.263953,1352.212036,0.000000,1.486181,0.820330,1.022154,-0.764384,-0.913486,0.333221,-5.170982,1.915499,-0.123983,-0.049231,-5.200213,-2.808665,-6.051170,4.643181,6.032088,7.430209,17.706357,-0.286730,8.745339,-0.117140,5.278721,-4.086773,0.251644,0.360002,-3.111791,-4.395033,-0.608137,0.812023,0.894140,0.263996,-1.913377,0.273971,-1.276394,-0.420992,2.932906,5.595893,2.678395,-2.068365,-3.198304,0.769991,3.417767,7.866257,-1.945912,-7.884746,-5.683918,-15.813279,20.920779,4.302171,-3.710960,-1.630138,6.002502,-2.142979,1.475048,-2.089195,-1.501549,0.177475,-0.432258,-0.182514,1.252843,0.361540,0.233397
102.796115,29.263953,1341.522461,0.000000,1.923764,0.524699,0.792067,-0.626738,-1.093520,0.445222,-3.583804,-1.723899,1.347410,0.696512,-6.020764,-2.526827,-7.316338,3.188023,4.288890,8.600163,19.191822,-0.289522,5.310321,2.148175,2.930753,-3.346593,0.018669,0.239999,-3.786832,-4.131975,-0.663178,0.588722,1.526802,-0.020523,-2.049167,0.296558,-1.439743,-0.510756,2.903090,5.470360,2.853176,-2.835589,-2.850444,0.480449,3.522167,5.906518,-1.645257,-8.648986,-4.672667,-12.100628,20.900463,1.247719,-3.396076,-0.713621,5.761097,0.446016,0.510744,-3.135322,-1.761734,0.189907,-0.418608,0.030592,0.918571,0.283774,0.291563
102.796281,29.263953,1330.670044,0.000000,-1.121307,3.164123,0.387251,0.893530,-0.652644,-0.966628,0.527847,-4.140838,-1.272477,1.491966,-7.128856,-3.579587,-6.672332,2.610678,6.029022,7.558831,13.704624,0.817455,3.348480,1.743891,1.771892,-2.305635,0.236301,0.226803,-3.407641,-4.267005,-0.442751,0.174261,1.363842,0.450121,-1.892979,0.239017,-1.305625,-1.045599,3.100261,5.548263,2.566260,-2.677242,-3.515863,0.515383,3.263870,1.695617,2.159838,-9.004566,-6.738101,-14.838743,20.655704,3.285541,-1.898033,-0.461535,4.494782,1.397363,-0.100661,-2.922725,-1.824865,0.336788,-0.416114,0.160050,0.618359,0.294992,0.121569
102.796448,29.263953,1320.480713,0.000000,2.384217,0.209159,0.938945,-0.661363,-0.861318,0.479196,-4.550406,-0.917391,1.782644,-8.816578,-3.475185,-3.236760,2.044212,4.013252,4.860873,10.678442,7.283548,-1.082339,4.386688,2.198472,0.473705,-0.292312,0.114364,-3.199352,-4.813854,-0.309141,0.139784,0.853695,0.814612,-1.804681,0.170622,-1.154542,-1.451076,3.435885,5.525070,2.367771,-2.265617,-4.393080,0.549836,2.977483,-0.551975,2.386175,-9.922762,-8.550934,-11.798023,18.646569,-0.262475,1.096313,-0.377331,2.299161,2.078008,-1.363897,-2.325853,-1.724682,0.240294,-0.256634,0.398085,0.327231,0.379717,-0.041733,-0.128095
102.796615,29.263953,1311.985718,0.000000,2.318006,0.084766,0.989424,-0.797828,-0.886550,0.518610,-4.734284,-1.182062,2.048438,0.514623,-0.653716,-7.668052,-1.351465,-2.446385,1.525422,3.646479,2.591425,9.449457,11.433824,-2.272699,2.514934,3.642078,0.080677,-0.090128,0.629824,-2.764416,-5.166758,0.409840,0.394446,-0.674785,1.509609,-1.780810,0.137864,-0.949990,-1.643190,3.630127,5.451644,2.057302,-2.143095,-4.792785,1.416921,2.280030,-2.048541,2.440024,-10.705029,-9.349374,-11.527460,19.174357,-0.969831,1.495017,-0.565929,0.735017,3.562769,-0.684215,-2.957250,-1.685798,0.277092,-0.218460,0.544065,0.281208,0.496952
102.796781,29.263953,1304.952759,0.000000,2.384989,-0.065221,0.912635,-0.705623,-1.018036,0.486202,-4.696145,-1.176155,1.438831,-6.338019,0.980291,-1.156346,0.372648,2.019237,4.922322,8.034161,16.277185,-2.958925,2.830425,3.832022,-0.023413,-0.120264,0.115275,-3.443356,-5.046440,0.440125,0.468052,-1.534848,1.932314,-1.828685,0.257339,-0.844486,-1.658514,3.711698,5.353304,2.186152,-2.424946,-4.610703,1.179249,2.307051,-0.706835,1.962044,-11.040262,-9.334675,-9.066277,21.166740,-4.409243,0.656520,-0.050768,0.585859,4.079987,-0.044405,-3.289869,-1.287299,0.030850,-0.284295,0.934287,0.515691,0.283403,0.060639,-0.005324
102.796948,29.263953,1298.586792,0.000000,2.207468,-0.193466,0.878430,-0.490651,-1.211549,0.555162,-4.741459,-1.090946,0.694041,-4.307283,3.303520,-0.680261,0.515104,9.799033,7.557622,14.596306,-0.928243,0.842296,3.727089,-1.072759,-0.142603,-0.567658,-3.819237,-4.802175,0.117002,0.689753,-1.985195,2.166515,-1.905088,0.478946,-0.774528,-1.328140,3.511963,5.081256,2.325869,-2.995953,-4.364324,1.148403,2.395672,-1.888098,2.646311,-11.141546,-8.689101,14.541029,-5.536864,0.719659,-0.150494,-0.079776,4.062112,1.024760,-3.907145,-1.009522,-0.220599,-0.424289,1.207694,0.678978,0.123121,0.018736,0.360798,-0.135166,0.218893
